name,description,type
137 Murray Street Guesthouse,The distinguished guesthouse portrays an aura of old-world charm with its warm wooden floors cozy fireplaces high pressed ceilings and antique fittings,accommodation
23 on Hazelwood,23 on Hazelwood and 23 on Rubenstein trendy street cafés in Pretoria welcome the hustlers the creative entrepreneurs the misfits and the rebels in the hope that you may find creative inspiration in what we do and how we do it,accommodation
23 on Rubenstein,23 on Hazelwood and 23 on Rubenstein trendy street cafés in Pretoria welcome the hustlers the creative entrepreneurs the misfits and the rebels in the hope that you may find creative inspiration in what we do and how we do it,accommodation
3 at Marion Guesthouse,Our location makes us the ideal destination for business or leisure with quick and easy access to the N1 and the N4 highways Let us be your home away from home for meetings sight-seeing and everything in-between,accommodation
37 on Charles,Welcome to 37 on Charles  Ideally located for guests visiting the greater Pretoria area we are situated halfway between Pretoria CBD and Menlyn in Justice Mahomed Street formerly known as Charles Street in the beautiful and tranquil Baileys Muckleneuk,accommodation
Centurion,Tourist attraction in Tshwane - Centurion,area
Garsfontein,Tourist attraction in Tshwane - Garsfontein,area
Pretoria North,Tourist attraction in Tshwane - Pretoria North,area
Adventure Zone Cullinan,Nestled in the quaint miners village of Cullinan just 30 minutes from Pretoria Cullinan Adventure Zone is home to some of the best adrenaline pumping activities in Gauteng We offer Individuals & Companies a wide range of activities to be enjoyed as a fun adventure or as a part of a comprehensive team build,attraction
African Nights Guest House,Consist of two houses - African Nights Guesthouses mainhouse and Protea House - situated in a quiet and established neighborhoods of Theresapark in the north of Pretoria,accommodation
Afro Boer,Afro-Boer bakers cafe has been open since August 2013 ​It has won multiple prestigious awards with-Eat-Out Magazine-Best of Pretoria-Diners Club Wine Awards-TripAdvisor Service Excellence Awards- been nominated for a RASA Rosette Award-HOSCO Restaurant Awards-Cafe of the Year Award,restaurant
AIDC Automotive Industry Development Supplier Park Conference Centre,The 4- star graded Conference Centre at the Automotive Supplier Park is a world class facility which caters for all conferencing needs   The seven fully equipped rooms accommodate 10 to 230 delegates,venue
Anew Hotel Hatfield,Situated in the bustling suburb of Hatfield Pretoria ANEW Hotel Hatfield offers guests 3-star accommodation as base to explore one of our nations capital cities Perfect for the travelling executive our hotel is conveniently located near major highways as well as the Hatfield Gautrain Station,accommodation
Fortis Hotel Capital,Nestled at the top of the Times Square Casino in Menlyn Pretoria Forti Grill and Bar is perfectly situated to give you a view of Eastern Pretoria like no other  Forti s menu has been painstakingly crafted with his years of experience and his insatiable love of food ,accommodation
Anew Hotel Centurion,Set in the business hub of Centurion Pretoria near major sports stadiums multiple businesses and the Gautrain station ANEW Hotel Centurion offers you the perfect base to discover the gateway to Gauteng,accommodation
Aroma Gelato and Waffle Lounge,Welcome to Aroma Gelato and Waffle lounge  a bite away from heaven!We offer fresh natural mouth-watering Italian gelato which will awaken your senses and change your taste buds to a new way of life,restaurant
at the Rocks Country Estate,At The Rocks Country Estate is a place to relax and connect and aims to provide exclusive friendly and affordable accommodation to visitors attending weddings in the area or visiting the historical and picturesque areas around Cullinan,accommodation
B Guest House,Come and feel right at home in the rich ambiance of this charming Guesthouse in Arcadia Pretoria/Tshwane The main residence was built in Dutch style in 1929 by architect builder and painter Henk Horstmanshof and declared a Provincial Heritage site,accommodation
Baobab Cafe Grill,Enjoy the sumptuous and varying tastes of the African continent in the tranquil environment of a truly Pan-African restaurant Come dine at the Baobab Cafe and Grill sit on the terrace enjoy the uniquely African setting and feel the tension melt away,restaurant
Batter Boys Boutique Hotel,With over 23 years of experience in the business Batter Boys have literally seen it all They  successfully catered for 4500 guests at the Presidential Inauguration in 2009 Let us take the worry out of your function and event planning,accommodation
Bill Harrops Balloon Safaris,Bill Harrops Balloon Safaris Is ultimate high in elegance style – hot air ballooning in ancient Magaliesberg Mountain Valley A unique sightseeing tour while you serenely drift with the wind Enjoy a glass a bubbly on landing followed by a full English breakfast,attraction
Brosad Travel Services,Brosad Travel Services has many years of experience in offering travellers to Southern Africa good value for money unique holidays and travel solutions Our market is mainly situated in Europe but we offer our services worldwide,service
Capital Craft Beer Academy,Craft beers are much more than just a refreshing beverage each beer has a story to tell Our tasty dishes will elaborate on these tales and are designed to complement the spicy taste of barley/wheat and hops It is also part of our mission to educate our clientèle about the brewing process the different types of beer and also to help you discover the rich fragrances aromas and tastes locked away in each beer you order,attraction
Capito,A fresh new Italian restaurant in the heart of Hazelwood in Pretoria. Hearty quality food from a cozy spot in the food hub of Pretoria,restaurant
Caraffa,Since opening in 1990 Caraffa has become a very well established Italian restaurant due to its accurate unique and true embodiment of the family restaurant,restaurant
Carbon Bistro,Carbon Bistro is focused on offering the core values of good affordable gourmet cuisine delivered straight to you,restaurant
Casa Toscana Lodge,Casa Toscana is ideally located within close proximity to the CSIR Menlyn shopping Centre and Hatfield and offers easy access to these rapidly developing commercial hubs While the lodge has a private and exclusive atmosphere it is open to anyone and our staff aim to provide first-class hospitality that you would expect from a 4-star accommodation,accommodation
Castello di Monte,The Tuscan style estate portrays pure luxury and elegance and offers spectacular views of the hills in and around the capital city The landscaped gardens with mature olive trees and lavender bushes give an Italian flavour to the African landscapeYou will hardly notice that you are in the middle of a bustling city,restaurant
Castle Bush Camp,Tucked away in the heart of the South African bushveld yet a convenient drive from the centre of Gauteng Castle Inn Resort offers the perfect getaway team building conferencing and camp location,accommodation
Central Restaurant,Located in the heart of the Village Hazelwood is Central The restaurant has been 25 years in the making and is a culmination of all my experiences in the industry which started when I was just 16 washing dishes and rolling cutlery in my dads restaurant,restaurant
Centurion Mall,Centurion Mall offers its community a unique space not only to shop but also to socialise and enjoy some of the finer things in life,shopping
City Lodge Hotel Hatfield,City Lodge Hotel Hatfield provides visitors to the capital city with an ideal location close to the iconic Union Buildings embassies sports grounds universities cultural landmarks shopping and entertainment destinations and the Gautrain Hatfield Station,accommodation
City Lodge Lynwood,The 205-room City Lodge Hotel Lynnwood is located within the Lynnwood Bridge Complex in Pretoria East with convenient access to a wide range of business shopping dining and entertainment destinations in this modern mixed-use precinct,accommodation
Colcacchio,where the pizza place started This is just your typical Boy meets Girl Boy falls in love with girl Boy joins forces as master entrepreneur and master restaurateur,restaurant
Conference Consultancy SA,We innovate for action Our clients are taken on a journey of discovery inside the box by identifying opportunities that already exist in your immediate environment and applying it differently in the new digital meeting environment,service
Constantia Guest Lodge,Whether visiting Pretoria for business tourism or visiting friends and family we are delighted to be of your service and to make you feel right at home Relax on the veranda with a drink or enjoy our free wi-fi internet to catch up with business and loved-ones,accommodation
Cornerstone Guest Lodge,Cornerstone Lodge is situated in a very central area in the east of Pretoria and although we are close to all the main attractions in and around Pretoria you can often hear the quiet of the night The original house was built in the early 1970s and then purchased by us in 1997 At first it was just a dream to convert our home into a guesthouse but it soon became a reality,accommodation
Court Classique Suite Hotel,Court Classique Suite Hotel Pretoria has been serving the Diplomatic Government Business and International Leisure Travel Market since 1997 Nestling in upmarket diplomatic suburb of Arcadia Pretoria the Court Classique Suite hotel offers easy access to the major Gauteng business centres as well as a host of superb restaurants cinemas shops and cultural attractions,accommodation
Crawdaddys Good Food Menlyn,Crawdaddy s established 1995 has become a landmark in Pretoria for its Seafood and Meat Dishes and has created a huge loyal family of patrons that keep the restaurant buzzing the year in and out We believe word of mouth and value for money to be our strongest advertisements and customer service satisfaction the key element in our establishment,restaurant
Cussonia Country Home,Cussonia Country Home offers intimate accommodation consisting of three rooms in the main house 2 rooms above our health centre and one self-catering cottage consisting of two rooms,accommodation
De Kloof Restaurant,De Kloof is uncompromisingly and unapologetically committed to quality food and innovative dishes Dishes and prepared according to classic European techniques with local influences,restaurant
